Time,root.CNNP.QF.1#.QF1RCP604MP.numvalue
2019-04-21T03:23:59.000+08:00,4.894
2019-04-21T03:24:02.000+08:00,4.895
2019-04-21T03:26:00.000+08:00,4.883
2019-04-21T03:26:15.000+08:00,4.894
2019-04-21T03:54:00.000+08:00,4.883
2019-04-21T03:59:41.000+08:00,4.894
2019-04-21T03:59:47.000+08:00,4.883
2019-04-21T04:03:17.000+08:00,4.895
2019-04-21T04:03:31.000+08:00,4.896
2019-04-21T04:04:05.000+08:00,4.885
2019-04-21T04:04:27.000+08:00,4.884
2019-04-21T04:10:08.000+08:00,4.895
2019-04-21T04:13:21.000+08:00,4.884
2019-04-21T04:15:00.000+08:00,4.895
2019-04-21T04:15:03.000+08:00,4.896
2019-04-21T04:17:35.000+08:00,4.886
2019-04-21T04:18:58.000+08:00,4.897
2019-04-21T04:27:58.000+08:00,4.887
2019-04-21T04:31:31.000+08:00,4.897
2019-04-21T04:32:24.000+08:00,4.887
2019-04-21T04:34:38.000+08:00,4.883
2019-04-21T04:35:27.000+08:00,4.893
2019-04-21T04:48:13.000+08:00,4.897
2019-04-21T04:48:58.000+08:00,4.887
2019-04-21T04:49:02.000+08:00,4.882
2019-04-21T04:50:37.000+08:00,4.893
2019-04-21T05:02:44.000+08:00,4.881
2019-04-21T05:02:53.000+08:00,4.892
2019-04-21T05:33:25.000+08:00,4.882
2019-04-21T05:33:40.000+08:00,4.892
2019-04-21T05:38:08.000+08:00,4.897
2019-04-21T05:39:35.000+08:00,4.886
2019-04-21T05:40:38.000+08:00,4.898
2019-04-21T05:41:30.000+08:00,4.887
2019-04-21T05:44:56.000+08:00,4.898
2019-04-21T05:46:19.000+08:00,4.887
2019-04-21T05:53:12.000+08:00,4.897
2019-04-21T05:53:32.000+08:00,4.887
2019-04-21T05:56:05.000+08:00,4.897
2019-04-21T05:59:02.000+08:00,4.887
2019-04-21T06:00:02.000+08:00,4.897
2019-04-21T06:02:13.000+08:00,4.886
2019-04-21T06:02:35.000+08:00,4.898
2019-04-21T06:03:59.000+08:00,4.886
2019-04-21T06:04:43.000+08:00,4.897
2019-04-21T06:06:03.000+08:00,4.886
2019-04-21T06:06:34.000+08:00,4.896
2019-04-21T06:07:20.000+08:00,4.886
2019-04-21T06:08:56.000+08:00,4.896
2019-04-21T06:09:48.000+08:00,4.885
2019-04-21T06:11:42.000+08:00,4.895
2019-04-21T06:14:07.000+08:00,4.885
2019-04-21T06:15:13.000+08:00,4.897
2019-04-21T06:16:30.000+08:00,4.887
2019-04-21T06:17:44.000+08:00,4.897
2019-04-21T06:22:09.000+08:00,4.886
2019-04-21T06:22:26.000+08:00,4.897
2019-04-21T06:22:34.000+08:00,4.886
2019-04-21T06:23:55.000+08:00,4.899
2019-04-21T06:24:51.000+08:00,4.888
2019-04-21T06:48:44.000+08:00,4.901
2019-04-21T06:49:00.000+08:00,4.891
2019-04-21T06:49:42.000+08:00,4.901
2019-04-21T06:50:01.000+08:00,4.903
2019-04-21T06:51:10.000+08:00,4.891
2019-04-21T06:51:57.000+08:00,4.902
2019-04-21T06:53:10.000+08:00,4.891
2019-04-21T06:53:11.000+08:00,4.891
2019-04-21T06:55:00.000+08:00,4.903
2019-04-21T06:55:07.000+08:00,4.893
2019-04-21T06:55:54.000+08:00,4.892
2019-04-21T07:11:21.000+08:00,4.903
2019-04-21T07:11:23.000+08:00,4.903
2019-04-21T07:12:21.000+08:00,4.893
2019-04-21T07:12:30.000+08:00,4.892
2019-04-21T07:13:15.000+08:00,4.903
2019-04-21T07:13:22.000+08:00,4.904
2019-04-21T07:43:01.000+08:00,4.893
2019-04-21T07:43:16.000+08:00,4.891
2019-04-21T07:50:22.000+08:00,4.902
2019-04-21T07:50:36.000+08:00,4.903
2019-04-21T07:51:58.000+08:00,4.892
2019-04-21T07:52:00.000+08:00,4.891
2019-04-21T07:52:33.000+08:00,4.902
2019-04-21T07:52:40.000+08:00,4.902
2019-04-21T08:33:44.000+08:00,4.914
2019-04-21T08:34:30.000+08:00,4.903
2019-04-21T08:34:53.000+08:00,4.903
2019-04-21T08:40:47.000+08:00,4.913
2019-04-21T08:43:51.000+08:00,4.901
2019-04-21T08:44:45.000+08:00,4.913
2019-04-21T08:45:04.000+08:00,4.903
2019-04-21T08:59:26.000+08:00,4.914
2019-04-21T09:12:50.000+08:00,4.904
2019-04-21T09:12:56.000+08:00,4.903
2019-04-21T09:13:18.000+08:00,4.914
2019-04-21T09:13:25.000+08:00,4.915
2019-04-21T09:15:59.000+08:00,4.904
2019-04-21T09:16:13.000+08:00,4.914
2019-04-21T09:17:49.000+08:00,4.903
2019-04-21T09:18:31.000+08:00,4.913
2019-04-21T09:20:56.000+08:00,4.903
2019-04-21T09:22:35.000+08:00,4.913
2019-04-21T09:23:22.000+08:00,4.903
2019-04-21T09:25:27.000+08:00,4.913
2019-04-21T09:27:43.000+08:00,4.903
2019-04-21T09:30:26.000+08:00,4.913
2019-04-21T09:34:33.000+08:00,4.914
2019-04-21T09:35:22.000+08:00,4.903
2019-04-21T09:36:16.000+08:00,4.914
2019-04-21T09:36:42.000+08:00,4.904
2019-04-21T09:36:43.000+08:00,4.903
2019-04-21T10:03:35.000+08:00,4.893
2019-04-21T10:04:03.000+08:00,4.904
2019-04-21T10:05:27.000+08:00,4.893
2019-04-21T10:06:20.000+08:00,4.904
2019-04-21T10:06:58.000+08:00,4.894
2019-04-21T10:07:00.000+08:00,4.892
2019-04-21T10:07:59.000+08:00,4.903
2019-04-21T10:08:19.000+08:00,4.904
2019-04-21T10:09:10.000+08:00,4.893
2019-04-21T10:10:15.000+08:00,4.904
2019-04-21T10:11:00.000+08:00,4.891
2019-04-21T10:11:55.000+08:00,4.902
2019-04-21T10:13:30.000+08:00,4.891
2019-04-21T10:14:24.000+08:00,4.902
2019-04-21T10:16:30.000+08:00,4.903
2019-04-21T10:17:20.000+08:00,4.892
2019-04-21T10:17:22.000+08:00,4.891
2019-04-21T10:18:35.000+08:00,4.902
2019-04-21T10:18:37.000+08:00,4.902
2019-04-21T10:23:27.000+08:00,4.892
2019-04-21T10:24:44.000+08:00,4.902
2019-04-21T10:31:56.000+08:00,4.892
2019-04-21T10:32:18.000+08:00,4.902
